X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.004387807904121475,16.970102314229106,0.4803657761654908
2.0,2.0,train,0.008556801968372666,51.49303619004465,0.7210198851728002
3.0,3.0,train,0.006047019233051695,28.582716334435087,0.5943127801998613
4.0,4.0,train,7.249849538833417E-4,3.532786185960272,0.10251840400987
5.0,5.0,train,0.007206133754274224,36.46394414172504,0.6587379285159056
6.0,6.0,train,0.011523974230975134,79.03813230022556,0.8208077523965791
7.0,7.0,train,0.010169603122192618,62.89142746043828,0.7806821827187643
8.0,8.0,train,0.005551797005886391,24.49206222802939,0.5632040522577582
9.0,9.0,train,0.006097219002696718,29.799082229160934,0.5973398060953413
10.0,10.0,train,0.013837888362983615,92.59340182684484,0.873120286867722
11.0,11.0,train,0.015436188357324061,99.99977619110982,0.9000385751429172
12.0,12.0,train,0.007427853660505772,39.40250387616703,0.6698418880073246
13.0,13.0,train,0.011108341690793106,75.61386579266035,0.8093443931257358
14.0,14.0,train,0.010364382733095095,67.00679579670685,0.7869637907032097
15.0,15.0,train,0.0073596915333781375,38.65963370225294,0.6664672779152024
16.0,16.0,train,0.006610994506087891,34.319596030478664,0.6270511356730246
17.0,17.0,train,0.0018638656378724783,8.616166854411329,0.24276047807105638
18.0,18.0,train,0.005149049815902236,20.730407189755862,0.5361537219048613
19.0,19.0,train,0.010350734548919755,65.97427751569056,0.7865295616097886
20.0,20.0,train,0.007519618819125999,40.89982358573068,0.6743311884049064
21.0,21.0,train,0.006290049747515046,30.42810623940257,0.6087588891291107
22.0,22.0,train,0.007722340288236701,42.43125656879486,0.6840334574973909
23.0,23.0,train,0.008054916000916203,44.79959882731146,0.6993284813595486
24.0,24.0,train,0.008155702477410046,46.42457500911829,0.7038157478873595
25.0,25.0,train,0.005916149981202118,26.791455726403267,0.5863139960061688
26.0,26.0,train,0.011653077182186044,80.20345257037637,0.8242261923578538
27.0,27.0,train,0.011745650477427642,82.5468268539203,0.8266371669713908
28.0,28.0,train,0.0013273741163479706,6.564151883776555,0.17965877571078914
29.0,29.0,train,0.00593207029837865,27.384781681915758,0.5872954168157853
30.0,30.0,train,0.010229994299308804,64.93584268384062,0.7826493476778296
31.0,31.0,train,0.009580811963552987,57.89840748277093,0.7605450246077582
32.0,32.0,train,0.014940403807293359,96.92080914682242,0.8923643477039955
33.0,33.0,train,0.01099696735088985,74.49629505821228,0.8061499417451755
34.0,34.0,train,0.015355860885612286,98.45623660681682,0.8988334008041754
35.0,35.0,train,0.008896843005798316,54.10755386234313,0.7348200184662476
36.0,36.0,train,0.008491292269559242,50.63726823158707,0.7182798806986752
37.0,37.0,train,0.010456944487681918,69.09838021729125,0.7898855075920701
38.0,38.0,train,0.013717011483244062,91.20987761911856,0.8708113836558006
39.0,39.0,train,0.009950359396499048,60.8592056954688,0.7733897633059874
40.0,40.0,train,0.011388086289348192,77.88565989935736,0.8171378180117461
41.0,41.0,train,0.007872700428960693,43.99412680119271,0.6910425229905378
42.0,42.0,train,0.010428814196467247,68.05151179675784,0.7890018372639955
43.0,43.0,train,0.012801373417324534,89.83799211402098,0.8519011066358901
44.0,44.0,train,0.011931651323030076,84.92142120569405,0.8313818520597727
45.0,45.0,train,0.011806666947340241,83.72808097043347,0.8282081670854695
46.0,46.0,train,0.009432034497023784,55.992475282220944,0.7551705224133498
47.0,47.0,train,0.01169830435042724,81.37359677094896,0.8254082469870152
48.0,48.0,train,0.00821234580289481,47.24571283208258,0.7063081913633686
49.0,49.0,train,0.006596141675526204,33.65856426088239,0.6262237877633687
50.0,50.0,train,0.008678287421999257,53.217843227421746,0.7260307895151787
51.0,51.0,train,0.005808798139742485,26.19983452458674,0.5796349995414197
52.0,52.0,train,0.002974383889603655,11.781268311534967,0.3583788072683355
53.0,53.0,train,0.014241187071321213,95.42663211195527,0.8805294184704743
54.0,54.0,train,0.007756049243219861,43.20683744988482,0.6856185082235888
55.0,55.0,train,0.009479326442066708,56.940246498959496,0.7568918679498413
56.0,56.0,train,0.011334875137695943,76.7470203979902,0.8156803469032432
57.0,57.0,train,0.01099150425255451,73.40397662142,0.805991878702623
58.0,58.0,train,0.006356205348125676,31.697584044053478,0.6126014257455331
59.0,59.0,train,0.010222241378594113,63.9190178797424,0.7823977967812743
60.0,60.0,train,0.010885536006723876,72.30434928609294,0.8029002907980309
61.0,61.0,train,0.007072137321462929,35.026798744229865,0.6518469969403297
62.0,62.0,train,0.009416332949117524,55.04935888210951,0.7545963222140405
63.0,63.0,train,0.005374868173457862,22.315647338583098,0.5515206281721434
64.0,64.0,train,0.007591786383840827,41.65897786949883,0.6778188207815171
65.0,65.0,train,0.004401769123317868,17.410402590074945,0.4814470040959242
66.0,66.0,train,0.005631369985332032,25.05521326419108,0.5683589166133975
67.0,67.0,train,0.009849954635722111,59.86422167475221,0.7699696611956931
68.0,68.0,train,0.010484290613196709,70.14474783391385,0.7907409968661188
69.0,69.0,train,0.007348767537284156,37.923629715701125,0.665923248578373
70.0,70.0,train,0.012141817930823388,87.34338019387593,0.8365869088211279
71.0,71.0,train,0.012158408157578115,88.55792393577816,0.8369908798233174
72.0,72.0,train,0.005402761026954924,23.39348935622977,0.5533830603881347
73.0,73.0,train,0.008462678238998728,48.09203554674344,0.717074643245996
74.0,74.0,train,0.00724890558265117,37.18869623473216,0.6609086759050311
75.0,75.0,train,0.008093523430496158,45.60901384334576,0.7010553583591608
76.0,76.0,train,0.010151947952871306,61.87716162167866,0.7801037321081471
77.0,77.0,train,0.012059992431189617,86.12781394040694,0.8345797696789123
78.0,78.0,train,0.008481198656980774,49.787447126694516,0.7178553198706233
79.0,79.0,train,0.005637476504582007,25.61863850839616,0.5687519840550035
80.0,80.0,train,0.0064475071995739,32.342502484693924,0.617842634439712
81.0,81.0,train,0.010703153099762976,71.21519299948548,0.7974635261905927
82.0,82.0,train,0.014091009663735993,94.00272761454599,0.8778224180495496
83.0,83.0,train,0.00634043943435683,31.06214388866271,0.6116891283911715
84.0,84.0,train,0.004938983333874507,20.215510830697973,0.521386374636327
85.0,85.0,train,0.009807812738604316,58.87924428611879,0.7685188410885392
86.0,86.0,train,0.0022691153470616866,9.675457019640085,0.2871869374842324
87.0,87.0,train,0.008479479944373498,48.9399866863583,0.7177829630967059
88.0,88.0,train,0.004116760199795825,16.093301095407945,0.458921936801888
89.0,89.0,train,0.005933556382766402,27.976578025206184,0.5873869087911792
